Source sentence,Answer sentence,Event1,Event2,labels
Israel has publicly declared that it will respond to an Iraqi attack on Jordan because it wo n't allow Iraq 's dangerous army to take control of Jordan 's long border with Israel . ,allow is the cause of respond ,allow ,respond ,Cause-Effect
"I would be very surprised if his departure signals any change in strategy or change in profit expectations . "" ",departure is the cause of change ,departure ,change ,Cause-Effect
"Even though this city is in Afghanistan , most people here speak a dialect of the Persian language , and have long standing cultural ties with neighboring Iran . Most of the city 's monuments were destroyed , including a magnificent tiled mosque , which dominated the skyline for centuries . ",speak and destroyed have no relationship,speak ,destroyed ,NONE
"GM closed down $ 1.875 at $ 44.875 in New York Stock Exchange trading yesterday . GMAC said its automotive financing and leasing business rose 35 % in the U.S., largely because of dealer and customer incentives used to boost sales . ",closed and boost have no relationship,closed ,boost ,NONE
The U.N. Security Council has charged the inspectors with verifying that Iraq has destroyed its long-range missiles and weapons of mass destruction . The Security Council has said it will not lift the sweeping sanctions imposed on Iraq after its 1990 invasion of Kuwait until the U.N. inspectors certify that Baghdad has eliminated its weapons of mass destruction . ,charged and lift have no relationship,charged ,lift ,NONE
"His kidnappers demanded a ransom of dlrs 1 million , but negotiations broke off at noon Thursday . Police gave no details about the negotiations with the kidnappers for the return of Hernandez . ",demanded and gave have no relationship,demanded ,gave ,NONE
"A senior law enforcement source tells CNN , there is a lot of circumstantial evidence and it would be extraordinary to have all these bits and pieces and there not be a connection . A bomb blast shocks the Olympic games . ",tells and shocks have no relationship,tells ,shocks ,NONE
"Mr. Potach notes older , more traditional groups like the Ku Klux Klan are also opening new chapters , thanks in part to their ability to use new technologies like the Internet . The Federal Bureau of Investigation says it received more than eight thousand reports of hate group crimes last year . ",opening and crimes have no relationship,opening ,crimes ,NONE
"And powerful political pressures may convince the Conservative government to keep its so-called golden share , which limits any individual holding to 15 % , until the restriction expires on Dec . 31 , 1990 . The government retained the single share after selling its stake in Jaguar in 1984 -- part of a nationalistic practice of protecting former government-owned enterprises to deflect criticism of privatization . ",convince and selling have no relationship,convince ,selling ,NONE
"But the administration is n't putting any upper limit on how high the force could go after that , calculating that it would be a mistake to underestimate and an advantage to keep Saddam Hussein guessing . Then yesterday , he tried to entice Arab leaders with his proposal for a diplomatic solution linking his occupation of Kuwait with Israel 's occupation of the West Bank . ",mistake and entice have no relationship,mistake ,entice ,NONE
"We innovated telephone redemptions , daily dividends , total elimination of share certificates and the constant $ 1 pershare pricing , all of which were painfully thought out and not the result of some inadvertence on the part of the SEC . ",inadvertence is the cause of elimination ,inadvertence ,elimination ,Cause-Effect
"Speaking on the ABC program , Abdul Amir al-Anbari , Iraq 's ambassador to the U.N., asserted that an embargo on Iraq could plunge the U.S. into a "" depression "" and the rest of the world into an economic "" crisis . "" In the first days after President Bush announced the dispatching of U.S. troops , they note , the Iraqi leader made several nationwide addresses indirectly -- having them read by a television announcer . ",depression and read have no relationship,depression ,read ,NONE
"If all the debt is converted to common , Automatic Data will issue about 3.6 million shares ; ",issue and converted have no relationship,issue ,converted ,NONE
"She said she gave the Amir brothers false information regarding the location of a weapons and ammunition cache when they asked her to help organize such a movement . The rabbi said called the talk about killing Rabin "" nonsense , "" and said Jews are prohibited from killing one another , the radio reports said . ",organize and said have no relationship,organize ,said ,NONE
"Kellogg indicated that it has room to grow without adding facilities . Kellogg is so anxious to turn around Corn Flakes sales that it soon will begin selling boxes for as little as 99 cents , trade sources say . ",has and anxious have no relationship,has ,anxious ,NONE
"At the same time , the sheer size of the loss , coupled with a slowing of orders , made some securities analysts wonder just how strong that turnaround will be at the computer maker and defense-electronics concern . ",orders is the cause of wonder ,orders ,wonder ,Cause-Effect
"Meridian National Corp. said it sold 750,000 shares of its common stock to the McAlpine family interests , for $ 1 million , or $ 1.35 a share . The sale represents 10.2 % of Meridian 's shares outstanding . ",sold and represents have no relationship,sold ,represents ,NONE
"Iran said an Iraqi diplomatic delegation was en route to Tehran to deliver Saddam 's message , which it said it would review "" with optimism . "" Iraq 's Saddam Hussein , facing U.S. and Arab troops at the Saudi border , today sought peace on another front by promising to withdraw from Iranian territory and release soldiers captured during the Iran - Iraq war . ",deliver and facing have no relationship,deliver ,facing ,NONE
"About 1.1 million Class C warrants were issued , the company said . Avon also said it will issue an additional 243,677 of the Class C warrants to holders of its Class A , Class B and unclassified warrants . ",issued and issue have no relationship,issued ,issue ,NONE
